Accession Number,herbarium,species.label,modifier,my.species,Authorship Ref Species author::Species Author,province.state,collector,location,habitat,Geo_LatDegree,Geo_LongDegree,Geo_Source,mapped,certainty 0-3,Altitude from sheet,altitude.units,max elevation,altitude.corrected,Date,Entire plant,corolla width,spur length,spur reflexion,blade length,blade width,blade cleft,sepal length,sepal width,anther exsertion,sepal.color.0.4,Fls/infl,Petal midpoint diameter,Height cm,term lflt length cm,term lflt width cm,num bsl lvs,comments,changes
160779,UBC,flavescens,,flavescens,S. Watson,BC,Olivia Ng,"around Copper Lake, Kootenay District","shady areas, also in flood plains",50.033095,-115.903869,Google Earth,Y,3,4000,ft,,1219.2,1975 Jun 22,Y,1.96,1.6,1,0.5,0.9,N,2.1,0.6,0.8,0,3,0.3,,,,,,
96788,UBC,flavescens,,flavescens,S. Watson,Montana,J.W. Eastham,Glacier National Park,,48.752534,-113.800964,Google Earth,Y,1,4000,ft,,1219.2,1962 Jul 61,Y,1.95,1.5,NA,0.8,0.62,N,2.6,0.9,0.4,0,8,,,,,,,
96787,UBC,flavescens,,flavescens,S. Watson,Montana,K.J. Roller,Glacier National Park,,48.758786,-113.764198,Google Earth,Y,1,NA,,,1886,1961 Jul 22,Y,1.6,1.4,0,0.4,0.5,N,2.1,0.6,1,0,,,,,,,,
V133288,UBC,flavescens,,flavescens,S. Watson,Alberta,Job Kuijt,Carthew Trail above Allison Lake,"mossy stream bank in shade from Salix, Picea and Abies lasiocarpa",49.03114,-113.982591,label,Y,3,6500,ft,,1981.2,1969 Jul 23,Y,1.9,1.5,1,0.7,0.7,N,2.4,0.8,0.4,0,,,,,,,,
133265,UBC,flavescens,,flavescens,S. Watson,Alberta,Job Kuijt,Upper Twin Lake,steep east slope composed of rock fragments,49.134777,-114.159654,label,Y,3,6500,ft,,1981.2,1969 Jul 16,Y,1.7,0.8,1,0.45,0.65,N,1.7,0.9,0.5,0,,,,,,,,
21843,UBC,flavescens,,flavescens,S. Watson,Alberta,T.M.C. Taylor,"Waterton Lakes Park, above Carthew Lake",damp ledges,49.025103,-114.002397,label,Y,3,7800,ft,,2377.44,1951 Aug 7,Y,1.2,1,2,0.4,0.51,N,1.3,0.53,0.69,0,,,4.5,,,,,
21844,UBC,flavescens,,flavescens,S. Watson,Alberta,T.M.C. Taylor,"Waterton Lakes Park, rock slide above timberline on Carthew Ridge",,49.036549,-114.000129,Google Earth,Y,3,7800,ft,,2377.44,1951 Aug 7,Y,1.4,1.1,1,0.4,0.6,N,1.5,0.6,0.8,0,,,7,,,,,
82402,UBC,flavescens,,flavescens,S. Watson,Alberta,W.W. Mair,"Banff National Park, along trail to muskeg, back of Hillsdale",,51.272549,-115.783822,Google Earth,Y,2,NA,,,2118,1949 Jul 12,Y,2.2,1.6,1,0.5,0.7,N,2.1,0.8,0.8,0,,,,,,,,
82475,UBC,flavescens,,flavescens,S. Watson,Alberta,W.W. Mair,"Banff National park, approx. 4-5 mile point",,51.189233,-115.581072,Google Earth,Y,1,NA,,,1402,1949 Jun 27,Y,2.05,1.6,1,0.6,0.9,N,1.5,0.6,0.65,0,,,,,,,,
33045,UBC,flavescens,,flavescens,S. Watson,Montana,Henry M. Fitch,Sheridian,,45.458135,-112.178946,Google Earth,Y,1,NA,,,1602,NA,N,2,1.6,0,0.56,0.8,N,2,0.8,0.65,0,,,,,,,,
45998,UBC,flavescens,,flavescens,S. Watson,Washington,J. William Thompson,"Kittitas CO: alpine slopes of Table Mt. , Wenatchee Mts.",alpine,47.268934,-120.58604,http://peakbagger.com/peak.aspx?pid=27842,Y,3,6200,ft,,1889.76,1940 Jul 14,Y,1.7,1.5,2,0.33,0.5,N,1.7,0.5,0.9,1,,,,,,,,
108620,UBC,flavescens,,flavescens,S. Watson,Alberta,K.I. Beamish,Banff Park,,51.158166,-115.537536,Google Earth,Y,1,NA,,,1691,1961 Jun 21,Y,2,1.4,3,0.9,0.7,N,2,0.71,0.6,0,,,,,,,,
64746,UBC,flavescens,,flavescens,S. Watson,Oregon,W.C. McCalla,Wallowa Lake,,45.35277,-117.263787,Google Earth,Y,3,4190,ft,,1277.112,1939 Jun 1,Y,2.1,1.1,0,0.6,0.6,N,2.2,0.9,0.8,0,,,,,,,,
82209,UBC,flavescens,,flavescens,S. Watson,Alberta,R.T. Ogilvie,"Spray Valley, south of Canmore, near Mud Lake",,50.832412,-115.341739,Google Earth,Y,3,6000,ft,,1828.8,1959 Jul 3,Y,2.2,1.1,1,0.6,0.9,N,2.1,0.9,0.65,0,,,,,,,,
40891,UBC,flavescens,,flavescens,S. Watson,Alberta,Job Kuijt,Kananaskis F.E.S.,,51.075208,-115.145754,Google Earth,Y,1,4500,ft,,1371.6,1953 Aug 2,N,2.2,1.6,0,0.5,0.75,N,2.2,0.9,0.97,0,,,,,,,,
53015,UBC,flavescens,,flavescens,S. Watson,Alberta,C.C. Brayshaw,Waterton Lake,Shady wood,49.049335,-113.91879,Google Earth,Y,1,NA,,,1335,1951 Jun 24,N,1.35,NA,NA,NA,NA,N,1.8,0.66,NA,0,,,,,,,,
V130256,UBC,flavescens,,flavescens,S. Watson,Alberta,"K.I. Beamish, J. Pinder-Moss","Mt. Clitheroe, Tonquin Valley, Jasper National Park",open meadow slopes above timber,52.711829,-118.242143,Google Earth,Y,3,7500,ft,,2286,1970 Jul 26,Y,1.82,1.1,0,0.45,0.58,N,2,0.88,0.8,0,,,,,,,,
V21842,UBC,flavescens,,flavescens,S. Watson,Alberta,T.M.C. Taylor,"Waterton Lakes Park, at head of Cameron Lake",damp rock slide,49.044974,-114.05865,Google Earth,Y,3,7800,ft,,2377.44,1951 Aug 06,Y,2.65,1.7,0,0.9,1,N,2.3,0.7,0.2,0,,,,,,,,
V94995,UBC,flavescens,,flavescens,S. Watson,Alberta,J.W. Eastham,"Banff National Park, Larch Valley",,51.34936,-116.180394,label,Y,3,7600,ft,,2316.48,1962 Jul 30,Y,2,1.2,2,0.5,0.46,N,1.4,0.6,0.51,1,,,,,,,,
V133737,UBC,flavescens,,flavescens,S. Watson,,,Oil basin end Mount Galwey,,49.171229,-113.947865,label,Y,3,6000,ft,,1828.8,1969 May 27,Y,1.7,1.8,3,0.5,0.9,N,1.9,0.68,0.7,0,,,,,,,,
V152236,UBC,flavescens,,flavescens,S. Watson,BC,K.I. Beamish,"Just below lookout on Mount Idaho, east side of Slocan Lake","lush alpine meadow, full sun, south slope, with scattered Abies lasiocarpa",49.972234,-117.298282,Google Earth,Y,3,6800-7000,ft,,2103.12,1975 Jul 11,Y,1.9,1.5,3,0.6,0.56,N,2.1,0.95,0.6,0,,3.5,,,,,,
34069,UBC,flavescens,var. miniana,putative hybrid,Nels. & Macbr.,BC,J. Buckland,Selkirks nr. Revelstoke,rock slide,51.055967,-118.082189,Google Earth,Y,2,6500,ft,,1981.2,1938 Jul,Y,1.71,1.7,1,0.7,0.5,N,1.6,0.5,0.6,1,2.33,0.25,NA,1.5,0.7,8,putative hybrid,
67239,UBC,flavescens,var. miniana,putative hybrid,Nels. & Macbr.,BC,"M. Bell, J. Davidson",Flathead Townsite,,49.362841,-114.631594,Google Earth,Y,3,4900,ft,,1493.52,1957 Jul 18,Y,2,1.9,3,0.8,0.6,N,1.8,0.6,0.6,1,4,0.36,57,3.5,3.2,6,putative hybrid,
37031,UBC,flavescens,var. miniana,putative hybrid,Nels. & Macbr.,BC,"P.A. Jones, D.A. Ross",Silver Star Mountain (Aberdeen Mt.) 12 mi. ne of Vernon,,50.34763,-119.12952,Google Earth,Y,3,5000,ft,,1524,1951 Aug 15,Y,1.9,1.4,3,0.6,0.5,N,2.7,1.1,0.8,1,7,0.4,64,3.8,4.2,3,putative hybrid,
132894,UBC,flavescens,var. miniana,flavescens,Macbride & Payson,BC,A.F. Szczawinski,"Cougar Valley, Glacier Natl. Park, Rogers Pass","subalpine, grassy slope",51.294127,-117.565988,Google Earth,Y,2,NA,,,1849,1964 Aug 13,Y,2.4,1.2,NA,0.7,0.5,N,2.6,0.9,0.9,0,NA,0.28,65,2.4,2.5,4,"taxonomy uncertain, resembles pure flavescens",
94996,UBC,flavescens,,putative hybrid,S. Watson,Alberta,F. Vrugtman,"Consolation Valley, Banff National Park","Scree, E. aspect",51.340353,-116.178441,Google Earth,Y,3,6400,ft,,1950.72,1962 Aug 2,Y,1.9,1.5,1,0.7,0.4,N,2.5,1,0.4,3,2,,25,1.8,0.8,3,putative hybrid,taxonomy as on label
82221,UBC,flavescens,,flavescens,S. Watson,Alberta,R.T. Ogilvie,"Jasper National Park, Alberta",,52.873915,-117.981342,Google Earth,Y,3,6500,ft,,1981.2,1959 Aug 5,Y,2.1,1.6,1,0.9,0.84,N,2.7,1.11,0.59,0,3,,,,,,,
133248,UBC,flavescens,,putative hybrid,S. Watson,Alberta,F. Fodor,"Twin Lakes, near Ball Mt., Banff National Park",,51.209456,-115.982207,Google Earth,Y,3,6900,ft,,2103.12,1969 Jul 30,Y,2.25,1.5,3,0.56,0.75,N,2.3,0.75,0.8,1,2,,,,,,resembles var. miniana,
V176996,UBC,formosa,,formosa,Fisch. ex DC.,BC,Wynne Gorman,"3 km north of Forrest Kerr Creek, 0.5 km south of More Creek tributary",alpine-fir forest,56.737951,-130.65977,ministry of Natural Resource Operations - BC Geographical Names,Y,3,550,m,,550,1979 Aug 20,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,elevation changed from range to exact value,
V177007,UBC,formosa,,formosa,Fisch. ex DC.,BC,Wynne Gorman,"Stikine River, northern floodplain, 10 km west of Cullivan Creek",,57.927394,-129.238985,label,Y,3,1000,ft,,304.8,1979 Sep 14,Y,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,,,13,,,,elevation changed from range to exact value,
V218439,UBC,formosa,,formosa,Fisch. ex DC.,BC,Carol Latimer,Atlin,,59.580883,-133.704032,label,Y,2,2300,ft,,701.04,2002 Jul,N,1.3,1.3,NA,0.3,0.4,N,2,0.7,1,3,,,,,,,,
V213520,UBC,formosa,,formosa,Fisch. ex DC.,BC,W. & D.M. van Dieren,"Vancouver Island, Port Alberni, Somass River delta",,49.249661,-124.838987,Google Earth,Y,3,NA,ft,,0,1981 May 23,N,1.57,1.9,1,0.3,0.4,Y,2.4,0.9,1.7,3,10,0.39,NA,2.8,2.8,NA,,
21665,UBC,formosa,,formosa,Fisch. ,BC,T.M.C. Taylor,Cathedral Lakes at base of Red Mountain,damp bank,49.072336,-120.183993,Google Earth,Y,3,6500,ft,,1981.2,1951 Aug 17,Y,1.44,1.7,2,0.36,0.5,N,1.75,0.88,1.14,2,6,0.25,,,,,,
137047,UBC,formosa,,formosa,Fisch. ex DC.,Yukon,"K. Beamish, D. Krause, J.Luitjens","Lapie Lakes, mile 101scree slope",,61.610934,-133.041862,label,Y,3,4500,ft,,1371.6,1968 Jun 26,Y,1.2,1,3,0.35,NA,N,1.6,0.6,0.7,2,,,,,,,"possible hybrid, mapped to match elevation description",
V222267,UBC,formosa,,formosa,Fisch. ex DC.,Washington,Jesara Schroeder,Ferry County. Colville National Forest. Along the North Trout Fork Road (2048).,,48.786336,-118.760412,Google Earth,Y,2,1050,m,,1050,1999 Jul 10,Y,0.94,1.9,0,0.45,0.45,N,1.9,0.6,1,3,,,,,,,,
V213384,UBC,formosa,,formosa,Fisch. ex DC.,BC,"Eric Lamb, Sarah Martz",south of Hoop Bay,in moust rocky crack in cliff just above high tide line,51.213333,-127.11,label,Y,3,0,m,,0,2002 Jun 16,Y,1.6,1.7,1,0.4,0.5,N,2.2,1.1,1.2,4,,,,,,,accession number may be V219384,
V222335,UBC,formosa,,formosa,Fisch. ex DC.,Washington,David Tank,"Skagit County. Okanagan National Forest. Lake Ann trail, 1 km north of lake.",,48.5105,-120.746283,label,Y,3,5477,ft,,1669.3896,2003 Jul 27,Y,1.1,1.4,3,0.25,0.3,N,1.7,0.6,1.05,3,,,,,,,,
V35984,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Davidson,"Garibaldi, Black Tusk Valley ",Moist slopes good soil,49.958709,-123.067364,Google Earth,Y,3,5400,ft,,1645.92,1912 Aug 15,N,1.34,1.9,1,0.2,0.2,Y,1.9,0.7,1.5,3,7,0.35,NA,2.1,2,NA,,
V226200,UBC,formosa,,formosa,Fisch. ex DC.,BC,Gerald B. Straley,"4 km SW of Hope, BC, above north side of Fraser River where natrual gas pipeline crosses river, Rt. 7",rocky bluffs,49.377923,-121.506545,Google Earth,Y,3,100,m,,100,1997 May 15,Y,1.55,1.95,0,0.15,0.3,Y,2.5,0.8,1.35,4,,,,,,,,
V227000,UBC,formosa,,formosa,Fisch. ex DC.,BC,Cindy Sayre,"Sumas Mountain, unmarked gravel road",mixed alder and Douglas-fir forest,49.072322,-122.210275,Google Earth,Y,2,1000,ft,,304.8,1998 Jun 12,N,1.2,2.13,1,0.33,0.25,Y,1.8,0.7,1.2,3,,,,,,,,
V228102,UBC,formosa,,formosa,Fisch. ex DC.,BC,"Gary J. Lewis, Jocelyn M. Ingram","Grasshopper Mountain, Tulameen Ultramafic Complex, Tulameen Area",,49.539583,-120.90189,label,Y,3,1445,m,,1445,2002 Jul 09,Y,1.39,1.5,0,0.3,0.3,Y,2.2,0.71,1,3,,,,,,,"elevation as on label, very slight difference from Google",
V229561,UBC,formosa,,formosa,Fisch. ex DC.,BC,G. Lesko,Aleza Lake,,54.117495,-122.064906,Google Earth,Y,3,2000,ft,,609.6,1957 Jun 15,Y,1.7,2.1,1,0.33,0.4,Y,2.2,1.23,1.2,4,4,0.37,,,,,,
V216641,UBC,formosa,,formosa,Fisch. ex DC.,BC,Helen Kennedy & Fred R. Ganders,"Cascade Mountains, Skagit Range SE of Chilliwack, Mount McGuire, from trailhead in ca. 300m, lower meadow",open meadow with lupinus and polygonum bistortoides,49.030274,-121.756941,label,Y,3,1600,m,,1600,1999 Sep 13,N,1.65,2,1,0.24,0.5,Y,3.1,1.3,1.1,3,13,0.3,,,,,,
V68532,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Davidson,Upper Skookum Valley [Skoonka Creek],,50.383333,-120.6,CPNWH,Y,1,NA,,,818,1914 Jun 13,N,1.79,1.6,3,0.5,0.5,N,2.4,0.9,0.5,2,4,0.49,NA,2.9,2.5,NA,possible hybrid,taxonomy as on label
V43382,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Davidson,Between Colebrook and White Rock,,49.057433,-122.844324,Google Earth,Y,1,NA,,,45,1913 May 04,N,1.5,1.9,1,0.3,0.4,Y,1.9,0.7,1.3,3,9,0.3,NA,2.5,1.9,NA,,
V43379,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Davidson,Savary Island,,49.939763,-124.81807,Google Earth,Y,1,NA,,,19,1911 Jul 02,N,1.31,2,0,0.2,0.3,N,2.1,0.7,1.1,3,NA,0.3,NA,4.5,4.9,NA,incomplete specimen,
V236020,UBC,formosa,,formosa,Fisch. ex DC.,Oregon,Richard R. Halse,"Umatilla County, Blue Mountains, at the junction of Interstate Highway 84 and Summit Road (Exit 243) ca. 18 miles northwest of LaGrande",,45.43124,-118.36353,label,Y,3,1228,m,,1228,2009 Jun 15,Y,NA,NA,1,0.42,0.4,N,1.7,0.5,0.5,3,,,,,,,,
V236907,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath","Vancouver Island, Capital Regional District, Fairy Lake Forest Recreation Site",,48.58722,-124.35028,label,Y,3,16,m,,16,2011 Jun 07,Y,1.5,2.3,0,0.2,0.3,Y,3,1.1,1.3,3,7,0.26,32.5,2.7,2.2,6,,
V236921,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath","Fraser Valley Regional District, East side of Harrison Lake, East Harrison Forest Service Road",,49.41775,-121.75878,label,Y,3,148,m,,148,2011 Jun 22,N,1.4,1.8,1,0.2,0.3,Y,2.1,0.7,1.9,4,8,0.4,NA,3.5,2.4,NA,,
V236923,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath, J. Shiller","Okanagan-Similkameen Regional District, Kettle Valley Rail Trail near Link Lake Forest Recreation Site",,49.71093,-120.23073,label,Y,3,1108,m,,1108,2011 Jul 12,Y,1.78,2.1,2,0.2,0.3,Y,2.4,1,1.6,4,6,0.26,70,3.3,3.4,3,,
V236941,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath","Vancouver Island, Comox-Strathcona Regional District, Loveland Bay Forest Service Road",,50.05075,-125.37148,label,Y,3,215,m,,215,2011 Jul 21,Y,1.21,1.8,2,0.3,0.2,N,2,0.6,1.2,3,NA,0.3,67,5,3.3,NA,incomplete specimen,
V236955,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath","Greater Vancouver Regional District, Mt. Seymour Provincial Park, Baden Powell trail",,49.33415,-122.9542,label,Y,3,1171,m,,1171,2011 Aug 08,Y,1.15,1.9,1,0.2,0.2,Y,2.5,0.6,1.3,4,10,0.31,70,3,1.8,4,,
V236980,UBC,formosa,,formosa,Fisch. ex DC.,BC,"E.R. Manton, K. McGrath","Kootenay Boundary Regional District, Conkle Lake Provincial Park",,49.18175,-119.09125,label,Y,3,1089,m,,1089,2011 Aug 13,N,1.1,1.5,NA,NA,0.4,Y,NA,0.5,1.2,4,4,0.2,NA,3.8,2.3,NA,fls mangled,
66220,UBC,formosa,,putative hybrid,Fisch. ex DC.,BC,W. Bird,"Mt. Moor, Middle Creek River",,51.073736,-122.602979,Google Earth,Y,1,7200,ft,,2194.56,1957 Aug 4,Y,1.6,1.65,2,0.3,0.5,N,1.8,0.8,0.9,2,1,0.3,,,,,"putative hybrid, location not found",
74700,UBC,formosa,,formosa,Fisch. ex DC.,BC,D. Mueller-Dombois,"Sutton's Cabin, Nanaimo River Valley",on moist river bank between grasses,49.08165,-124.116667,Google Earth,Y,1,680,ft,,207.264,1956 Jun 4,Y,1.7,1.87,1,0.3,0.4,NA,2,0.8,1.2,3,4,0.39,,,,,,
